concept_id,category,subtype,canonical_ja,canonical_en,canonical_zh,aliases_ja,aliases_en,aliases_zh,source,source_row,status,notes
effect_divine_queen_bracelet_1_set_01,effect_name,set,フリッグの涙 I,,芬撒里爾的淚痕 I,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,divine-queen-bracelet-1-set-01,needs_review,Missing canonical in one or more languages.
effect_rider_set,effect_name,style,ウィンドセット,Rider Set,疾風套裝,疾風セット,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,dawn-armor-style-04|dawn-mantle-style-04|dawn-boots-style-04,needs_review,Merged competing short-form variants under shared EN/ZH meaning.
effect_spike,effect_name,style,スパイク,Spike,闇盲,闇盲,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,dawn-hatchet-style-04|dawn-hammer-style-01,needs_review,Merged competing short-form variants under shared EN/ZH meaning.
cond_1_matk_per_1_int,condition_phrase,generic_condition,Int1ポイントごとに,+1 MATK per 1 INT,每1點智力額外,,,,longtext_segments.csv,dawn-staff-style-01,needs_review,Only suspect segments available for this concept.
cond_bash_always_charges_vanguard_force_when_used,condition_phrase,generic_condition,狂撃使用時,[Bash] always charges [Vanguard Force] when used,使用狂擊時必定充能先鋒追擊,,,,longtext_segments.csv,dawn-claymore-style-03,needs_review,Only suspect segments available for this concept.
cond_cart_skills_give_you_5_mspd_stacking_up_to_2_times,condition_phrase,generic_condition,手押し車関連スキル使用時,"Cart skills give you +5% MSPD, stacking up to 2 times.",提升的傷害值為手推車負重*40%,,,,longtext_segments.csv,dawn-axe-style-02,needs_review,Only suspect segments available for this concept.
cond_casting_mammonite_and_high_speed_cart_ram_consumes_only_100_eden_coins_and_adds_1_stack_of_sifs_blessing,condition_phrase,generic_condition,メマーナイト、カートターミネーションの銅貨消費が100になり、どちらかのスキルで攻撃するたびに,"Casting Mammonite and High-Speed Cart Ram consumes only 100 Eden Coins, and adds 1 stack of Sif's Blessing",金錢攻擊、手推車終結技僅消耗100銅幣，且會獲得一層希芙的恩賜,,,,longtext_segments.csv,dawn-hatchet-style-03,needs_review,Only suspect segments available for this concept.
cond_casting_melody_strike_or_arrow_vulcan_additionally_triggers_a_st_wind_volt_attack_with_600_multiplier_200_in_pvp,condition_phrase,generic_condition,楽器攻撃・奥義矢乱舞発動時,Casting [Melody Strike] or [Arrow Vulcan] additionally triggers a ST Wind [Volt Attack] with 600% multiplier (200% in PVP),釋放樂器攻擊、奧義箭亂舞會額外觸發一次單體600%倍率（PVP場景為200%倍率）的風屬性物理感電攻擊，冷卻時間1秒,,,,longtext_segments.csv,dawn-guitar-style-01,needs_review,Only suspect segments available for this concept.
cond_each_stack_of_pact_of_reaper_gives_you_3_crit,condition_phrase,generic_condition,死神の契約1層ごとに自身のクリティカル+3,Each stack of Pact of Reaper gives you +3 CRIT,每層死神契約使自身暴擊+3、攻擊速度+1%,,,,longtext_segments.csv,dawn-spear-style-02,needs_review,Only suspect segments available for this concept.
cond_either_str_or_dex_3_the_higher_one_if_both,condition_phrase,generic_condition,StrとDexのうち高い方+3。同値の場合,Either STR or DEX +3 (the higher one). If both,力量和靈巧中較高的屬性值+3，若兩者相同，則力量、靈巧+2,,,,longtext_segments.csv,burglar-ring-1,needs_review,Only suspect segments available for this concept.
cond_every_10_points_of_max_sp_increase_matk_by_1_calculated_up_to_a_maximum_of_45,condition_phrase,generic_condition,毎10のMaxSPごとに,Every 10 points of Max SP increase MATK by 1 (calculated up to a maximum of 45,每10點魔法值上限,,,,longtext_segments.csv,dawn-staff-style-04,needs_review,Only suspect segments available for this concept.
cond_for_each_refine_1_aspd_1,condition_phrase,generic_condition,精錬+1ごとに,"For each refine +1, ASPD +1%",精煉每+1,,,,longtext_segments.csv,dawn-axe-style-03,needs_review,Only suspect segments available for this concept.
cond_fresh_shrimp_changes_from_every_3_seconds_to_every_2_seconds,condition_phrase,generic_condition,活きエビの発動間隔が3秒ごとから2秒ごとに,Fresh Shrimp changes from every 3 seconds to every 2 seconds,活蝦每3秒變為每隔2秒,,,,longtext_segments.csv,dawn-foxtail-grass-style-03,needs_review,Only suspect segments available for this concept.
cond_holy_attacks_add_an_additional_50_patk,condition_phrase,generic_condition,聖属性攻撃時,Holy Attacks add an additional 50 PATK,聖屬性攻擊時,,,,longtext_segments.csv,dawn-hammer-style-03,needs_review,Only suspect segments available for this concept.
cond_normal_attacks_have_a_2_chance_to_inflict_immobilize_the_target_for_1s_this_effect_can_trigger_once_every_5s,condition_phrase,generic_condition,通常攻撃は2%の確率でターゲットを1秒間スタン状態にする。この効果は5秒ごとに,Normal Attacks have a 2% chance to inflict Immobilize the target for 1s. This effect can trigger once every 5s.,普通攻擊有2%機率會使目標陷入定身狀態1秒，該效果每5秒最多觸發1次,,,,longtext_segments.csv,dawn-scythe-style-02,needs_review,Only suspect segments available for this concept.
cond_refine_10,condition_phrase,generic_condition,「ロイヤルシールド」と同時装備時,Refine +10,與皇家之盾一同裝備時君王的威嚴效果翻倍,,,,longtext_segments.csv,dawn-scythe-style-03,needs_review,Only suspect segments available for this concept.
cond_refine_6,condition_phrase,generic_condition,攻撃時に追加ダメージを付与,Refine +6,傷害為力量*物理攻擊/220,,,,longtext_segments.csv,dawn-sword-style-01,needs_review,Only suspect segments available for this concept.
cond_when_berserk_is_activated,condition_phrase,generic_condition,バーサーク発動時,When [Berserk] is activated,狂怒之槍啟動時提供額外攻速10%,,,,longtext_segments.csv,dawn-spear-style-04,needs_review,Only suspect segments available for this concept.
cond_when_casting_hip_shaker,condition_phrase,generic_condition,[Hip Shaker]発動時,When casting Hip Shaker,施放醜陋之舞時,,,,longtext_segments.csv,dawn-whip-style-03,needs_review,Only suspect segments available for this concept.
cond_when_casting_unchained_serenade,condition_phrase,generic_condition,不協和音を放つ際,When casting [Unchained Serenade],釋放不和諧音時,,,,longtext_segments.csv,dawn-guitar-style-02|dawn-whip-style-04,needs_review,Only suspect segments available for this concept.
cond_when_dragonology_reaches_lv_5,condition_phrase,generic_condition,竜の知識Lv.5習得時,When [Dragonology] reaches Lv.5,習得龍之知識Lv.5時,,,,longtext_segments.csv,dawn-book-style-02,needs_review,Only suspect segments available for this concept.
cond_when_your_agi_is_above_150,condition_phrase,generic_condition,Agi150以上の時,When your AGI is above 150,命中+20,,,,longtext_segments.csv,burglar-ring-1,needs_review,Only suspect segments available for this concept.
cond_while_in_combat_lose_1200_hp_per_10_sec,condition_phrase,generic_condition,戦闘開始後、10秒ごとに,"While in combat, lose 1200 HP per 10 sec.",進入戰鬥後，每10秒額外損失1200點生命值,,,,longtext_segments.csv,dawn-sword-style-01,needs_review,Only suspect segments available for this concept.
cond_while_str_is_above_150,condition_phrase,generic_condition,Str150以上の時,While STR is above 150,總力量大於150時物理攻擊+120,,,,longtext_segments.csv,dawn-axe-style-01,needs_review,Only suspect segments available for this concept.
cond_your_attacks_gain_a_30_chance_to_grant_you_majesty_of_kings_for_10_sec_majesty_of_kings_patk_matk_10,condition_phrase,generic_condition,攻撃時,Your attacks gain a 30% chance to grant you Majesty of Kings for 10 sec. Majesty of Kings: PATK/MATK +10%,攻擊時有30%機率獲得君王的威嚴：物理攻擊、魔法攻擊+10%,,,,longtext_segments.csv,dawn-scythe-style-03,needs_review,Only suspect segments available for this concept.
cond_your_attacks_gain_a_30_chance_to_grant_you_skill_dmg_10_for_15_sec_cooldown_20_sec,condition_phrase,generic_condition,攻撃時,Your attacks gain a 30% chance to grant you [Skill DMG +10%] for 15 sec. (Cooldown: 20 sec),攻擊時有30%機率獲得黑暗騎士的意念,,,,longtext_segments.csv,dark-knight-gloves-1-set-03,needs_review,Only suspect segments available for this concept.
cond_your_attacks_gain_a_30_chance_to_grant_you_skill_dmg_15_for_15_sec_cooldown_20_sec,condition_phrase,generic_condition,攻撃時,Your attacks gain a 30% chance to grant you [Skill DMG +15%] for 15 sec. (Cooldown: 20 sec),攻擊時有30%機率獲得黑暗騎士的意念,,,,longtext_segments.csv,dark-knight-gloves-1-set-02,needs_review,Only suspect segments available for this concept.
cond_your_attacks_have_a_10_chance_to_grant_you_lokis_courage_for_3_sec,condition_phrase,generic_condition,攻撃時,Your attacks have a 10% chance to grant you [Loki's Courage] for 3 sec.,攻擊時有10%機率觸發洛奇的勇氣：攻擊速度+15%、暴擊+10,,,,longtext_segments.csv,dawn-katar-style-01,needs_review,Only suspect segments available for this concept.
cond_your_attacks_have_a_2_chance_to_bleed_the_target,condition_phrase,generic_condition,攻撃時,Your attacks have a 2% chance to Bleed the target,攻擊時有2%機率使目標陷入流血狀態,,,,longtext_segments.csv,dawn-scythe-style-01,needs_review,Only suspect segments available for this concept.
cond_your_skills_have_a_30_chance_to_grant_you_matk_30_for_6_sec,condition_phrase,generic_condition,スキル発動時,Your skills have a 30% chance to grant you [MATK +30%] for 6 sec.,釋放技能有30%機率使自己魔攻提升30%，持續6秒,,,,longtext_segments.csv,dawn-staff-style-03,needs_review,Only suspect segments available for this concept.
cond_refine_ge_1,condition_phrase,refine_condition,精錬+1ごとに,For every Refine +1,精煉每+1,精錬+1毎に,"+50 Max HP per +1 Refine|Normal Attacks reduce the cooldown of [Berserk], up to a maximum of 30 sec.|Refine +15",智力+1|每精煉+1|生命上限+50|魔法攻擊+10,longtext_segments.csv,dawn-book-style-04|dawn-scepter-style-03|dawn-spear-style-04|dawn-staff-style-03,needs_review,Only suspect segments available for this concept. | includes_merged_suspect_segments=6
cond_refine_ge_2,condition_phrase,refine_condition,精錬+2ごとに,For every Refine +2,精煉每+2,精錬+2毎に,For every refine +2,,longtext_segments.csv,dawn-scepter-style-01|dawn-shield-style-04|spiritual-ring-2,needs_review,Only suspect segments available for this concept. | includes_merged_suspect_segments=2
effect_phrase_000_max_sp,effect_phrase,generic_effect,1の魔法攻撃力増加（最大4.5万MaxSPまで）,000 Max SP),增加1點魔法攻擊（最高計算4.5萬魔法值上限）,,,,longtext_segments.csv,dawn-staff-style-04,needs_review,Only suspect segments available for this concept.
effect_phrase_10_buff_potency,effect_phrase,generic_effect,最大HP+50,+10% Buff Potency,精煉每+1,,,,longtext_segments.csv,dawn-staff-style-03,needs_review,Only suspect segments available for this concept.
effect_phrase_1_2_pdmg_per_3_refine,effect_phrase,generic_effect,攻撃速度-5%,+1.2% PDMG per +3 Refine,精煉每+3,,,,longtext_segments.csv,dawn-axe-style-01,needs_review,Only suspect segments available for this concept.
effect_phrase_1_aspd_you_lose_1_of_the_current_hp_every_10_sec_this_effect_can_stack_up_to_5_times,effect_phrase,generic_effect,攻撃速度+1%、10秒ごとに現在のHP1%のダメージを受ける。最大5層まで重複する,+1% ASPD. You lose 1% of the current HP every 10 sec. This effect can stack up to 5 times,每10秒損失當前1%的生命值，最多疊加5層,,,,longtext_segments.csv,dawn-spear-style-02,needs_review,Only suspect segments available for this concept.
effect_phrase_1_int_per_1_refine,effect_phrase,generic_effect,30%の確率で自身の魔法攻撃力を30%上昇（持続時間6秒）,+1 INT per +1 Refine,精煉每+1,,,,longtext_segments.csv,dawn-staff-style-03,needs_review,Only suspect segments available for this concept.
effect_phrase_1_sifs_gold_will_drop_and_deal_pdmg_of_1_500_100_atk_to_the_target,effect_phrase,generic_effect,シフの恵みを10回蓄積すると、シフのコインが1枚落下し、ターゲットに1500%+100の物理ダメージを与える,"1 Sif's Gold will drop and deal PDMG of 1,500%+100 ATK to the target",落下一枚希芙的金幣，對目標造成1500%+100物理攻擊力的物理傷害,,,,longtext_segments.csv,dawn-hatchet-style-03,needs_review,Only suspect segments available for this concept.
effect_phrase_additional_dmg_increases_to_str_patk_150,effect_phrase,generic_effect,ダメージはStr*物理攻撃/220,Additional DMG increases to [STR * PATK/150],精煉+6時,,,,longtext_segments.csv,dawn-sword-style-01,needs_review,Only suspect segments available for this concept.
effect_phrase_additionally_triggers_flame_rhapsody_dealing_fire_pdmg_equal_to_800_atk_per_second_pvp_150_to_up_to_10_nearby_enemy_targets_for_10s,effect_phrase,generic_effect,追加で「炎の狂想曲」を発動。毎秒、周囲の最大10体の敵ユニットに800%ATK（PVP150%倍率）の火属性物理ダメージを与える。効果持続時間10秒,"additionally triggers [Flame Rhapsody], dealing Fire PDMG equal to 800% ATK per second (PVP: 150%) to up to 10 nearby enemy targets for 10s",會額外觸發火焰狂想曲，每秒對周圍最多10個敵方單位造成800%攻擊力（PVP場景為150%倍率）火屬性物理傷害，效果持續10秒,,,,longtext_segments.csv,dawn-guitar-style-02|dawn-whip-style-04,needs_review,Only suspect segments available for this concept.
effect_phrase_additionally_triggers_flame_rhapsody_dealing_fire_pdmg_equal_to_800_atk_pvp_200_per_second_to_up_to_10_nearby_enemy_units_effect_lasts_10s,effect_phrase,generic_effect,追加でフレイムラプソディが発動し、毎秒、周囲の最大10体の敵ユニットに攻撃力800%（PVP200%倍率）の火属性物理ダメージを与える。効果は10秒持続する,"additionally triggers Flame Rhapsody, dealing Fire PDMG equal to 800% ATK (PVP: 200%) per second to up to 10 nearby enemy units. Effect lasts 10s",會額外觸發火焰狂想曲，每秒對周圍最多10個敵方單位造成800%物理攻擊（PVP200%倍率）火屬性物理傷害，效果持續10秒,,,,longtext_segments.csv,dawn-whip-style-03,needs_review,Only suspect segments available for this concept.
effect_phrase_aoe_healing_increases_to_60_of_heal_s_effect,effect_phrase,generic_effect,範囲回復効果は治癒術の60%に上昇,AoE healing increases to 60% of [Heal]'s effect.,精煉+10時,,,,longtext_segments.csv,dawn-scepter-style-02,needs_review,Only suspect segments available for this concept.
effect_phrase_aspd_10,effect_phrase,generic_effect,攻撃速度+10%,ASPD +10%.,狂怒之槍期間普攻攻擊可以減少狂怒之槍冷卻時間,,,,longtext_segments.csv,dawn-spear-style-04,needs_review,Only suspect segments available for this concept.
effect_phrase_aspd_40,effect_phrase,generic_effect,攻撃速度-40%,ASPD -40%,攻擊速度-40%,,,,longtext_segments.csv,dawn-axe-style-01,needs_review,Only suspect segments available for this concept.
effect_phrase_aspd_5,effect_phrase,generic_effect,攻撃速度+5%,ASPD +5%,攻擊速度+5%,,,,longtext_segments.csv,dawn-scythe-style-01,needs_review,Only suspect segments available for this concept.
effect_phrase_aspd_6,effect_phrase,generic_effect,Str1ポイントごとに追加で1の物理攻撃力を付与,ASPD +6%,精煉+15時,,,,longtext_segments.csv,dawn-sword-style-01,needs_review,Only suspect segments available for this concept.
effect_phrase_aspd_6_2,effect_phrase,generic_effect,攻撃速度+6%,ASPD +6%,攻擊速度+6%,,,,longtext_segments.csv,dawn-scythe-style-02,needs_review,Only suspect segments available for this concept.
effect_phrase_aspersio_provides_additional_effects_when_cast_on_yourself_attacks_have_an_additional_20_pdmg,effect_phrase,generic_effect,追加で50点物理攻撃,"Aspersio provides additional effects when cast on yourself, attacks have an additional 20% PDMG",額外增加50點物理攻擊,,,,longtext_segments.csv,dawn-hammer-style-03,needs_review,Only suspect segments available for this concept.
effect_phrase_axe_boomerang_dmg_10,effect_phrase,generic_effect,回転刃のダメージ-10%,[Axe Boomerang] DMG +-10%,迴旋之刃傷害-10%,,,,longtext_segments.csv,dawn-axe-style-03,needs_review,Only suspect segments available for this concept.
effect_phrase_axe_boomerang_no_longer_has_cd,effect_phrase,generic_effect,回転刃のクールタイムがなくなる,[Axe Boomerang] no longer has CD,迴旋之刃不再有冷卻時間,,,,longtext_segments.csv,dawn-axe-style-03,needs_review,Only suspect segments available for this concept.
effect_phrase_bash_skill_damage_50,effect_phrase,generic_effect,必ずチャージした先鋒追撃を発動,[Bash] skill damage +50%,狂擊技能傷害提升50%,,,,longtext_segments.csv,dawn-claymore-style-03,needs_review,Only suspect segments available for this concept.
effect_phrase_break_chance_of_acid_terror_acid_bomb_attack_demonstration_5,effect_phrase,generic_effect,強酸攻撃,"Break Chance of Acid Terror, Acid Bomb attack, Demonstration +5%",強酸攻擊，強酸火煙瓶攻擊，火煙瓶攻擊破壞機率+5%,,,,longtext_segments.csv,dawn-hammer-style-02,needs_review,Only suspect segments available for this concept.
effect_phrase_cart_skills_deal_cart_weight_40_damage,effect_phrase,generic_effect,荷車の積載量に応じて荷車関連スキルのダメージが追加で上昇し、上昇するダメージ値は荷車の積載量×40%,Cart skills deal +(cart weight *40%) damage.,手推車負重額外提升手推車相關技能傷害,,,,longtext_segments.csv,dawn-axe-style-02,needs_review,Only suspect segments available for this concept.
effect_phrase_catnip_meteor_and_silvervine_stem_spear_deal_16_more_damage_to_enemies_with_a_status_effect,effect_phrase,generic_effect,キャットニップメテオとマタタビの槍が状態異常の敵に与えるダメージ+16%,[Catnip Meteor] and [Silvervine Stem Spear] deal 16% more damage to enemies with a status effect,貓薄荷隕石和獵徑桃根槍對異常狀態的敵人傷害提高16%,,,,longtext_segments.csv,dawn-foxtail-grass-style-02,needs_review,Only suspect segments available for this concept.
effect_phrase_catnip_meteor_has_a_10_chance_to_auto_cast_silvervine_stem_spear_when_dealing_damage,effect_phrase,generic_effect,キャットニップメテオがダメージを与えた時、10%の確率でマタタビの槍を自動発動,[Catnip Meteor] has a 10% chance to auto-cast [Silvervine Stem Spear] when dealing damage,貓薄荷隕石造成傷害時有10%機率釋放獵徑桃根槍,,,,longtext_segments.csv,dawn-foxtail-grass-style-02,needs_review,Only suspect segments available for this concept.
effect_phrase_cd_1s,effect_phrase,generic_effect,追加で単体600%倍率（PVP時200%倍率）の風属性物理感電攻撃を発動（クールダウン1秒）,CD: 1s,精煉+6時,,,,longtext_segments.csv,dawn-guitar-style-01,needs_review,Only suspect segments available for this concept.
effect_phrase_damage_against_all_other_monsters_10,effect_phrase,generic_effect,その他すべての種族モンスターへのダメージ+10%,damage against all other monsters +10%,對魚貝種族魔物的傷害+20%,,,,longtext_segments.csv,dawn-spear-style-05,needs_review,Only suspect segments available for this concept.
effect_phrase_damage_multiplier_of_gold_700,effect_phrase,generic_effect,シフのコインのダメージ倍率+700%,Damage Multiplier of Gold +700%,金幣的傷害倍率提高700%,,,,longtext_segments.csv,dawn-hatchet-style-03,needs_review,Only suspect segments available for this concept.
effect_phrase_damage_of_fire_bolt_lightning_bolt_cold_bolt_and_earth_spike_20,effect_phrase,generic_effect,火箭術・雷撃術・氷箭術・地震術のダメージ+20%,"Damage of Fire Bolt, Lightning Bolt, Cold Bolt, and Earth Spike +20%",火箭術、雷擊術、冰箭術、地震術傷害提升20%,,,,longtext_segments.csv,dawn-book-style-04,needs_review,Only suspect segments available for this concept.
effect_phrase_dealing_190_neutral_pdmg_and_marking_the_targets_damage_dealt_against_the_marked_targets_is_increased_by_6_for_6_sec,effect_phrase,generic_effect,20%の確率でスピアスタブLv.3を自動発動する。本スキルは190%+60の無属性物理ダメージを与え、対象を標的状態にする。対象へのダメージが6秒間6%アップ,dealing 190% Neutral PDMG and marking the targets. Damage dealt against the marked targets is increased by 6% for 6 sec,精煉+6時,,,,longtext_segments.csv,dawn-scythe-style-01,needs_review,Only suspect segments available for this concept.
effect_phrase_deals_extra_10_damage_to_units_whose_weapon_or_armor_is_broken,effect_phrase,generic_effect,強酸火煙瓶攻撃,Deals extra 10% damage to units whose Weapon or Armor is broken,對武器或者防具破壞的單位，造成額外10%傷害,,,,longtext_segments.csv,dawn-hammer-style-02,needs_review,Only suspect segments available for this concept.
effect_phrase_dmg_vs_fish_monsters_20,effect_phrase,generic_effect,魚貝種族モンスターへのダメージ+20%,DMG vs Fish monsters +20%,造成350%倍率的物理傷害,,,,longtext_segments.csv,dawn-spear-style-05,needs_review,Only suspect segments available for this concept.
effect_phrase_does_not_apply_to_the_damage_from_cart_weight,effect_phrase,generic_effect,手押し車関連スキルダメージ+25%（この効果は積載重量による追加ダメージには適用されない）,(Does not apply to the damage from cart weight),精煉+15時,,,,longtext_segments.csv,dawn-axe-style-02,needs_review,Only suspect segments available for this concept.
effect_phrase_double_cast_can_trigger_triple_cast_dealing_60_of_the_original_damage,effect_phrase,generic_effect,ダブルスローがトリプルスローを発動可能（ダメージは基本値の60%）,"Double Cast can trigger Triple Cast, dealing 60% of the original damage.",雙倍投擲可以觸發三倍投擲，造成的傷害為初始傷害的60%,,,,longtext_segments.csv,dawn-book-style-04,needs_review,Only suspect segments available for this concept.
effect_phrase_during_overload_and_strike_turret_atk_10_and_duration_is_extended_by_20,effect_phrase,generic_effect,オーバーロードと強襲の持続時間中、砲台の攻撃力が10%上昇し、持続時間が20%延長する,"During [Overload] and [Strike], Turret ATK +10%, and duration is extended by 20%",超載和強襲持續時間內，炮台攻擊力提升10%，持續時間提升20%,,,,longtext_segments.csv,dawn-hatchet-style-01,needs_review,Only suspect segments available for this concept.
